campo-mapeo,Cod. Barras,name,default_code,Descripción de Ventas,cat. producto,coste,pvp,EsNeto,Softline SI
032120R50,6694449.0,,,,,,,NO,SI
032121R50,6694456.0,,,,,,,NO,SI
032123R50,6695088.0,,,,,,,NO,SI
32130,6694500.0,,,,,,,NO,SI
32131,6695125.0,,,,,,,NO,SI
32133,6695132.0,,,,,,,NO,SI
33056,6696610.0,,,,,,,NO,SI
331730,6696245.0,,,,,,,NO,SI
42000,6694463.0,,,,,,,NO,SI
42001,6694470.0,,,,,,,NO,SI
42002,6695095.0,,,,,,,NO,SI
42003,6695101.0,,,,,,,NO,SI
42005,6694517.0,,,,,,,NO,SI
110010,6702779.0,110010,IDL-110010,MTR.PERFIL ALUMINIO SUPERFICIE S1  (1metro),130.0,0.0,"3,50 €",NO,NO
110010N,6702366.0,110010N,IDL-110010N,MTR.PERFIL ALUMINIO SUPERFICIE S1 NEGRO (1metro),130.0,0.0,"4,30 €",NO,NO
110016,6702816.0,110016,IDL-110016,MTR.PERFIL ALUMINIO CIRCULAR CI1 (1metro),130.0,0.0,"9,20 €",NO,NO
110020B,6703158.0,110020B,IDL-110020B,MTR.PERFIL ALUMINIO SUPERFICIE S2 BLANCO (1metro),130.0,0.0,"6,95 €",NO,NO
110020N,6719333.0,110020N,IDL-110020N,MTR.PERFIL ALUMINIO SUPERFICIE S2 NEGRO (1metro),130.0,0.0,"6,95 €",NO,NO
110050B,6710002.0,110050B,IDL-110050B,MTR.PERFIL ALUMINIO EMPOTRAR E1 BLANCO (1metro),130.0,0.0,"5,20 €",NO,NO
110050N,6711474.0,110050N,IDL-110050N,MTR.PERFIL ALUMINIO EMPOTRAR E1 NEGRO (1metro),130.0,0.0,"5,20 €",NO,NO
110080N,6703240.0,110080N,IDL-110080N,MTR.PERFIL ALUMINIO EMPOTRAR E2 NEGRO (1metro),130.0,0.0,"7,40 €",NO,NO
110160,6703264.0,110160,IDL-110160,MTR.PERFIL ALUMINIO ESQUINERO C3 (1metro),130.0,0.0,"13,35 €",NO,NO
110190B,6705442.0,110190B,IDL-110190B,MTR.PERFIL ALUMINIO SUPERFICIE S5 BLANCO (1metro),130.0,0.0,"8,90 €",NO,NO
